"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"94","Karnataka","Construction of community centers and community halls","WS/MP838/2024-2025/138562","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","02-Sep-2026","ZIlla Nirmithi Kendra Haveri","Payment In-Progress","250000"
"95","Rajasthan","Construction of public libraries and reading rooms","WS/MP147/2025-2026/234782","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","17-Aug-2026","GURU KRIPA CONSTRUCTION COMPANY","Payment In-Progress","437941"
"96","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2026-2027/282492","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","25-Aug-2026","EE HPPWD PALAMPUR","Payment In-Progress","198148"
"97","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/159135","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","09-Apr-2026","PRAVEJ AND COMPANY","Payment In-Progress","995918"
"98","Uttarakhand","Construction of buildings for community cultural activities","WS/MP204/2025-2026/159140","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","09-Apr-2026","PRAVEJ AND COMPANY","Payment In-Progress","996516"
"99","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2025-2026/202373","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","03-Sep-2026","ASSISTANT ENGINEER ZILLA PANCHAYAT OFFICE","Payment In-Progress","647610"
"100","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/202967","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","03-Sep-2026","Gram Panchayat Draman","Payment In-Progress","100000"
"101","Kerala","Lighting of public spaces","WS/MP095/2025-2026/257512","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri A. A. Rahim (2022-28) (2022-2028)","Elected MP","04-Sep-2026","R G ELECTRONICS","Payment In-Progress","232972"
"102","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2026-2027/283139","JALORE(DISTRICT COLLECTOR JALORE_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","03-Sep-2026","JAI SHIV SHAKTI CONSTRUCTION COMPANY","Payment In-Progress","917287"
"103","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190777","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"104","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190776","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"105","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190778","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"106","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190775","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"107","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190773","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"108","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190774","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"109","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190759","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"110","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190760","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"111","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190761","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"112","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190758","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"113","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190762","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"114","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190751","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"115","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190753","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"116","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190754","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"117","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190757","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"118","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190756","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"119","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190755","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"120","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190750","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"121","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190752","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"122","Rajasthan","Installing hand pumps","WS/MP146/2024-2025/138913","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","02-Apr-2025","Laxmi","Payment In-Progress","3000"
"123","Uttar Pradesh","Lighting of public spaces","WS/MP201/2023-2024/35268","Mahrajganj(DISTRICT MAGISTRAE MAHARAJGANJ_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","14-Oct-2025","MS DIKSHA ENTERPRISES","Payment In-Progress","579040"
"124","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190771","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","22-May-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"125","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190772","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","22-May-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"126","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2025-2026/202373","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","03-Sep-2026","BANWARILALL OMKARMULL","Payment In-Progress","850300"
"127","Odisha","Construction of community centers and community halls","WS/MP18283/2025-2026/229860","PURI(DISTRICT COLLECTOR PURI_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","01-Sep-2026","TAPABANTA SAHOO","Payment In-Progress","265349"
"128","Odisha","Construction of community centers and community halls","WS/MP18283/2025-2026/238325","PURI(DISTRICT COLLECTOR PURI_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","01-Sep-2026","TAPABANTA SAHOO","Payment In-Progress","300000"
"129","West Bengal","Development of public parks","WS/MP18383/2024-2025/166507","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","13-Aug-2026","ROY CONSTRUCTION","Payment In-Progress","561235"
"130","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/148159","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","01-Sep-2026","Balaji Construction Company","Payment In-Progress","374999"
"131","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18288/2025-2026/146658","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","02-Sep-2026","Grup Gram Panchayatvansiya","Payment In-Progress","200000"
"132","Gujarat","Installing tube-wells and borewells","WS/MP18288/2025-2026/237214","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","02-Sep-2026","Grup Gram Panchayatvansiya","Payment In-Progress","100000"
"133","Gujarat","Installing tube-wells and borewells","WS/MP18288/2025-2026/237220","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","02-Sep-2026","Grup Gram Panchayatvansiya","Payment In-Progress","60000"
"134","Delhi","Lighting of public spaces","WS/MP879/2025-2026/256063","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","03-Sep-2026","Nangal Electric Company","Payment In-Progress","624480"
"135","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/149380","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","31-Aug-2026","VIRUNA GRAM PANCHAYAT","Payment In-Progress","500000"
"136","Uttar Pradesh","Lighting of public spaces","WS/MP18302/2024-2025/159476","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","Shri Sanjay Seth (2024-30) (2024-2030)","Elected MP","24-Dec-2025","PROTON SOLAR PVT LTD","Payment In-Progress","955311"
"137","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/102821","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","05-Sep-2026","BDO SURANI RS","Payment In-Progress","125000"
"138","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18303/2024-2025/149499","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Amar Pal Maurya (2024-30) (2024-2030)","Elected MP","27-May-2026","SHANKAR BUILDING CONSTRUCTION","Payment In-Progress","47797"
"139","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2025-2026/192621","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","10-Apr-2026","RATHORE CONSTRUCTION COMPANY","Payment In-Progress","250000"
"140","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18316/2026-2027/292799","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","02-Sep-2026","Gram Panchayat Badona","Payment In-Progress","750000"
"141","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP888/2026-2027/251789","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","27-Aug-2026","ABUL HOSSAIN MIAH","Payment In-Progress","9710913"
"142","West Bengal","Street lights","WS/MP888/2026-2027/255561","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","05-Sep-2026","ABUL HOSSAIN MIAH","Payment In-Progress","339844"
"143","West Bengal","Street lights","WS/MP888/2026-2027/255562","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","05-Sep-2026","ABUL HOSSAIN MIAH","Payment In-Progress","339844"
"144","Uttar Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP196/2024-2025/173988","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","02-Sep-2026","SHREYA CONSTRUCTION","Payment In-Progress","753430"
"145","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18385/2025-2026/228179","GIRIDIH(Deputy Commissioner Giridh_IDA)","Dr. Sarfraz Ahmad (2024-30) (2024-2030)","Elected MP","19-Jun-2026","Executive engineer","Payment In-Progress","497154"
"146","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/221890","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","01-Sep-2026","L D CONSTRUCTION","Payment In-Progress","494042"
"147","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18422/2025-2026/250575","SATARA(DISTRICT COLLECTOR SATARA_IDA)","Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028)","Elected MP","02-Sep-2026","ANAND MAJUR SAHKARI SANSTHA LTD BHIMNAGAR KOREGAON","Payment In-Progress","1499938"
"148","Karnataka","Construction of community centers and community halls","WS/MP086/2026-2027/209969","MANDYA(DEPUTY COMMISSIONER MANDYA_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","11-Aug-2026","G B BAIRAVA","Payment In-Progress","497263"
"149","Tamil Nadu","Setting up of laboratories","WS/MP18435/2026-2027/281943","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","03-Sep-2026","SHERIN ENTERPRISES","Payment In-Progress","625000"
"150","Tamil Nadu","Setting up of laboratories","WS/MP18435/2026-2027/281944","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","03-Sep-2026","SHERIN ENTERPRISES","Payment In-Progress","625000"
"151","Tamil Nadu","Setting up of laboratories","WS/MP18435/2026-2027/281945","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Smt. Rajathi (2025-31) (2025-2031)","Elected MP","03-Sep-2026","SHERIN ENTERPRISES","Payment In-Progress","625000"
"152","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/299129","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","05-Sep-2026","HSH Interlock","Payment In-Progress","253500"
"153","Jharkhand","Construction of rainwater harvesting structures","WS/MP18349/2025-2026/174325","CHATRA(DEPUTY COMMISSIONER CHATRA_IDA)","Shri Pradip Kumar Varma (2024-30) (2024-2030)","Elected MP","05-Aug-2026","District Engineer","Payment In-Progress","485042"
"154","Jharkhand","Construction of rainwater harvesting structures","WS/MP18349/2025-2026/174324","CHATRA(DEPUTY COMMISSIONER CHATRA_IDA)","Shri Pradip Kumar Varma (2024-30) (2024-2030)","Elected MP","05-Aug-2026","District Engineer","Payment In-Progress","275025"
"155","Uttar Pradesh","Development of public parks","WS/MP196/2025-2026/200404","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","03-Sep-2026","PANKAJ KUMAR SRIVASTAVA THIKEDAR","Payment In-Progress","1365260"
"156","Odisha","Street lights","WS/MP18424/2026-2027/297142","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2026-32) (2026-2032)","Elected MP","05-Sep-2026","SWAYAM ENTERPRISES","Payment In-Progress","500000"
"157","Odisha","Street lights","WS/MP18424/2026-2027/297148","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2026-32) (2026-2032)","Elected MP","05-Sep-2026","SWAYAM ENTERPRISES","Payment In-Progress","500000"
"158","Odisha","Lighting of public spaces","WS/MP18424/2026-2027/297149","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2026-32) (2026-2032)","Elected MP","05-Sep-2026","SWAYAM ENTERPRISES","Payment In-Progress","1000000"
"159","Odisha","Lighting of public spaces","WS/MP18424/2026-2027/297150","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2026-32) (2026-2032)","Elected MP","05-Sep-2026","SWAYAM ENTERPRISES","Payment In-Progress","500000"
"160","Odisha","Providing supply pipelines for drinking water","WS/MP18424/2026-2027/297151","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2026-32) (2026-2032)","Elected MP","05-Sep-2026","SWAYAM ENTERPRISES","Payment In-Progress","1000000"
"161","Odisha","Street lights","WS/MP18424/2026-2027/297143","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2026-32) (2026-2032)","Elected MP","05-Sep-2026","SWAYAM ENTERPRISES","Payment In-Progress","500000"
"162","Odisha","Lighting of public spaces","WS/MP18424/2026-2027/297144","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2026-32) (2026-2032)","Elected MP","05-Sep-2026","SWAYAM ENTERPRISES","Payment In-Progress","500000"
"163","Odisha","Providing supply pipelines for drinking water","WS/MP18424/2026-2027/297152","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2026-32) (2026-2032)","Elected MP","05-Sep-2026","SWAYAM ENTERPRISES","Payment In-Progress","1000000"
"164","Jharkhand","Construction of public irrigation facilities","WS/MP18385/2026-2027/247024","GIRIDIH(Deputy Commissioner Giridh_IDA)","Dr. Sarfraz Ahmad (2024-30) (2024-2030)","Elected MP","11-Jul-2026","Executive engineer","Payment In-Progress","250000"
"165","Jharkhand","Establishing public ground water recharging facilities","WS/MP18385/2025-2026/197455","GIRIDIH(Deputy Commissioner Giridh_IDA)","Dr. Sarfraz Ahmad (2024-30) (2024-2030)","Elected MP","11-Jul-2026","Executive engineer","Payment In-Progress","250000"
"166","Jharkhand","Establishing public ground water recharging facilities","WS/MP18385/2025-2026/197454","GIRIDIH(Deputy Commissioner Giridh_IDA)","Dr. Sarfraz Ahmad (2024-30) (2024-2030)","Elected MP","11-Jul-2026","Executive engineer","Payment In-Progress","250000"
