"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"105","Tamil Nadu","Purchase of hospital equipment","WS/MP740/2026-2027/219246","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","03-Jul-2026","THE NILGIRIS DISTRICT CONSUMERS CO OP WHOLESALE STORES LTD","Payment Success","490000"
"106","Tamil Nadu","Purchase of hospital equipment","WS/MP740/2026-2027/269575","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","03-Jul-2026","THE NILGIRIS DISTRICT CONSUMERS CO OP WHOLESALE STORES LTD","Payment Success","335000"
"107","Tamil Nadu","Purchase of hospital equipment","WS/MP740/2026-2027/269574","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","03-Jul-2026","THE NILGIRIS DISTRICT CONSUMERS CO OP WHOLESALE STORES LTD","Payment Success","45000"
"108","Tamil Nadu","Purchase of non-conventional energy system and devices for community use","WS/MP18178/2026-2027/178210","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","21-May-2026","MUNIAN VENKATESAN","Payment Success","372559"
"109","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP394/2026-2027/208215","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","20-May-2026","CHANDRA KALAPERUMAL","Payment Success","1480000"
"110","Tamil Nadu","Construction of additional rooms and halls in the existing public and community building","WS/MP18174/2026-2027/221512","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","21-May-2026","Narendran Builders","Payment Success","2000000"
"111","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18174/2026-2027/285842","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","03-Jul-2026","VARUN ENTERPRISES","Payment Success","1529997"
"112","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP394/2026-2027/181597","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","15-Jul-2026","SAHAYA THATHEYOUSH S","Payment Success","2000000"
"113","Tamil Nadu","Construction of road under bridge","WS/MP017/2026-2027/160023","Ranipet(District Collector, Ranipet_2)","S. Jagathrakshakan","ARAKKONAM","17-Jun-2026","AVN CONSTRUCTIONS","Payment Success","3389297"
"114","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP758/2026-2027/256771","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","07-Aug-2026","Nava India Pathipagam","Payment Success","269325"
"115","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18181/2026-2027/222365","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","ESWARASAMY K","POLLACHI","03-Jul-2026","Mookambika Constructions","Payment Success","600000"
"116","Tamil Nadu","Construction of public libraries and reading rooms","WS/MP394/2026-2027/197311","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","06-Jul-2026","Prince kumar","Payment Success","989098"
"117","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201552","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","18-Mar-2026","RAMESH","Payment Success","199966"
"118","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201551","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","18-Mar-2026","RAMESH","Payment Success","199966"
"119","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201549","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","18-Mar-2026","RAMESH","Payment Success","199966"
"120","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201588","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","18-Mar-2026","RAMESH","Payment Success","199968"
"121","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201550","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","18-Mar-2026","RAMESH","Payment Success","199968"
"122","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201548","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","18-Mar-2026","RAMESH","Payment Success","199966"
"123","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201582","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","18-Mar-2026","RAMESH","Payment Success","199966"
"124","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201579","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","18-Mar-2026","RAMESH","Payment Success","199968"
"125","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP758/2025-2026/201230","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","23-Mar-2026","P S STALIN","Payment Success","800000"
"126","Tamil Nadu","Lighting of public spaces","WS/MP18184/2025-2026/169907","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","02-Feb-2026","BOSE AGENCY THENI","Payment Success","345925"
"127","Tamil Nadu","Lighting of public spaces","WS/MP743/2025-2026/253020","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","10-Mar-2026","T S SOLAR POWER SYSTEM","Payment Success","750000"
"128","Tamil Nadu","Construction of toilet blocks","WS/MP18184/2026-2027/171655","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","29-Jul-2026","SREE VINYAGA CONSTRUCTIONS","Payment Success","508679"
"129","Tamil Nadu","Construction of toilet blocks","WS/MP18184/2026-2027/171656","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","29-Jul-2026","SREE VINYAGA CONSTRUCTIONS","Payment Success","692076"
"130","Tamil Nadu","Construction of toilet blocks","WS/MP18184/2026-2027/169906","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","06-Jul-2026","SREE VINYAGA CONSTRUCTIONS","Payment Success","689839"
"131","Tamil Nadu","Construction of toilet blocks","WS/MP18184/2026-2027/169905","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","06-Jul-2026","SREE VINYAGA CONSTRUCTIONS","Payment Success","394715"
"132","Tamil Nadu","Construction of toilet blocks","WS/MP18184/2026-2027/171653","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","06-Jul-2026","SREE VINYAGA CONSTRUCTIONS","Payment Success","390943"
"133","Tamil Nadu","Construction of toilet blocks","WS/MP18184/2026-2027/171654","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","06-Jul-2026","SREE VINYAGA CONSTRUCTIONS","Payment Success","390406"
"134","Tamil Nadu","Purchase of non-conventional energy system and devices for community use","WS/MP18178/2025-2026/178168","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","24-Feb-2026","MUNIAN VENKATESAN","Payment Success","373720"
"135","Tamil Nadu","Lighting of public spaces","WS/MP18178/2026-2027/280588","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","15-May-2026","MUNIAN VENKATESAN","Payment Success","373720"
"136","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18178/2025-2026/174414","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","15-May-2026","TAMILNADU CONSTRUCTION LABOUR WELFARE BOARD","Payment Success","25000"
"137","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18178/2025-2026/174414","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","03-Mar-2026","SHANTHI ELECTRICALS","Payment Success","149996"
"138","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18178/2025-2026/174414","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","29-Jan-2026","RAVI M","Payment Success","2226061"
"139","Tamil Nadu","Construction of water tanks","WS/MP18181/2025-2026/203795","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","ESWARASAMY K","POLLACHI","31-Jan-2026","Thiruppathi Ramakrishnan","Payment Success","2000000"
"140","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP751/2025-2026/239150","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","30-Jan-2026","GREEN SHINE TRADERS","Payment Success","82950"
"141","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201553","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","25-Mar-2026","RAMESH","Payment Success","199966"
"142","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201586","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","18-Mar-2026","RAMESH","Payment Success","199966"
"143","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201587","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","18-Mar-2026","RAMESH","Payment Success","199966"
"144","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201547","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","18-Mar-2026","RAMESH","Payment Success","199966"
"145","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201554","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","18-Mar-2026","RAMESH","Payment Success","199986"
"146","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201698","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","18-Mar-2026","RAMESH","Payment Success","199987"
"147","Tamil Nadu","Construction of water tanks","WS/MP740/2026-2027/160935","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Andimuthu Raja","NILGIRIS(SC)","19-May-2026","Royal builders","Payment Success","1099868"
"148","Tamil Nadu","Construction of water tanks","WS/MP740/2026-2027/197212","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Andimuthu Raja","NILGIRIS(SC)","30-Jul-2026","NATPAVI ASSOCIATESS","Payment Success","1650000"
"149","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP740/2025-2026/140344","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","Andimuthu Raja","NILGIRIS(SC)","02-Dec-2025","P SARAVANAN","Payment Success","1200000"
"150","Tamil Nadu","Purchase of non-conventional energy system and devices for community use","WS/MP18178/2025-2026/201969","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","22-May-2026","MUNIAN VENKATESAN","Payment Success","375000"
"151","Tamil Nadu","Purchase of non-conventional energy system and devices for community use","WS/MP18178/2025-2026/201971","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","22-May-2026","MUNIAN VENKATESAN","Payment Success","375000"
"152","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP740/2025-2026/228442","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","17-Feb-2026","MANAGAI PATHIPAGAM","Payment Success","470000"
"153","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18267/2026-2027/250876","KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA)","GOPINATH K","KRISHNAGIRI","25-Jun-2026","Shivakumar Venkatagiriyappa","Payment Success","249350"
"154","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18267/2026-2027/250878","KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA)","GOPINATH K","KRISHNAGIRI","25-Jun-2026","Shivakumar Venkatagiriyappa","Payment Success","299663"
"155","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP756/2026-2027/171038","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","24-Aug-2026","Annai Electricals","Payment Success","99867"
"156","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP756/2026-2027/171038","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","07-Jul-2026","KUBERAN AND CO","Payment Success","4256261"
"157","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18181/2025-2026/211788","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","ESWARASAMY K","POLLACHI","15-Oct-2025","KALIDAS RAMASAMY","Payment Success","997723"
"158","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18181/2025-2026/211789","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","ESWARASAMY K","POLLACHI","16-Oct-2025","LAKSHMANAN","Payment Success","599770"
"159","Tamil Nadu","Lighting of public spaces","WS/MP18181/2025-2026/235265","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","ESWARASAMY K","POLLACHI","17-Oct-2025","Sharp Systems","Payment Success","700000"
"160","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18181/2025-2026/211787","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","ESWARASAMY K","POLLACHI","16-Oct-2025","LAKSHMANAN","Payment Success","599805"
"161","Tamil Nadu","Lighting of public spaces","WS/MP18181/2025-2026/213169","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","ESWARASAMY K","POLLACHI","11-Feb-2026","HARIDEV ENTERPRISES","Payment Success","700000"
"162","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18181/2026-2027/185232","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","ESWARASAMY K","POLLACHI","20-May-2026","KRISHNAKUMAR G","Payment Success","1000000"
"163","Tamil Nadu","Purchase of non-conventional energy system and devices for community use","WS/MP18178/2025-2026/178132","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","05-Feb-2026","VEENUS ENTERPRISES","Payment Success","474844"
"164","Tamil Nadu","Purchase of non-conventional energy system and devices for community use","WS/MP18178/2025-2026/178137","SALEM(DISTRICT COLLECTOR SALEM_IDA)","MALAIYARASAN D","KALLAKURICHI","05-Feb-2026","VEENUS ENTERPRISES","Payment Success","373693"
"165","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP394/2025-2026/136041","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","08-Sep-2025","EBIN SAM","Payment Success","1600000"
"166","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP394/2025-2026/136041","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","07-Mar-2026","EBIN SAM","Payment Success","900000"
"167","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP394/2026-2027/230776","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","07-Aug-2026","Xavier Prabhu","Payment Success","1485403"
"168","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP740/2026-2027/211760","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Andimuthu Raja","NILGIRIS(SC)","27-Jul-2026","KASTHURI SHANMUGAM","Payment Success","1482790"
"169","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP743/2025-2026/142093","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","23-May-2026","Anburaja V","Payment Success","1600000"
"170","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP18184/2025-2026/213141","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","22-Nov-2025","ANBALAGAN D","Payment Success","1835013"
"171","Tamil Nadu","Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons","WS/MP18394/2025-2026/180815","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","28-May-2025","MADRAS ENT RESEARCH FOUNDATION P Ltd","Payment Success","577000"
"172","Tamil Nadu","Construction of community centers and community halls","WS/MP18177/2025-2026/216387","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K E PRAKASH","ERODE","08-Oct-2025","Executive Officer","Payment Success","1000000"
"173","Tamil Nadu","Lighting of public spaces","WS/MP508/2025-2026/176403","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","23-Aug-2025","AADHI CONSTRUCTIONS","Payment Success","970018"
"174","Tamil Nadu","Lighting of public spaces","WS/MP508/2025-2026/176404","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","23-Aug-2025","AADHI CONSTRUCTIONS","Payment Success","969644"
"175","Tamil Nadu","Lighting of public spaces","WS/MP508/2025-2026/176405","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","22-Sep-2025","T S SOLAR POWER SYSTEM","Payment Success","1799543"
"176","Tamil Nadu","Lighting of public spaces","WS/MP508/2025-2026/176406","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","23-Sep-2025","T S SOLAR POWER SYSTEM","Payment Success","1799693"
"177","Tamil Nadu","Lighting of public spaces","WS/MP508/2026-2027/201464","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","23-Jul-2026","T S SOLAR POWER SYSTEM","Payment Success","699568"
"178","Tamil Nadu","Lighting of public spaces","WS/MP508/2026-2027/229856","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","31-Jul-2026","T S SOLAR POWER SYSTEM","Payment Success","799337"
"179","Tamil Nadu","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP745/2024-2025/138590","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K Subbarayan","TIRUPPUR","03-Mar-2025","SKY SPEECH HEARING CARE","Payment Success","730000"
"180","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP458/2025-2026/153614","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","22-Jul-2025","A S CONSTRUCTIONS","Payment Success","1400000"
"181","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP458/2025-2026/153610","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","18-Jul-2025","M KARUNAMOORTHY","Payment Success","1590997"
"182","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP458/2025-2026/153616","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","18-Jul-2025","M KARUNAMOORTHY","Payment Success","1400000"
"183","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP458/2026-2027/211394","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","22-Jul-2026","S SYED SIRAJUDEEN","Payment Success","1000000"
"184","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP458/2026-2027/211390","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","27-Jul-2026","A S CONSTRUCTIONS","Payment Success","1000000"
