"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"802","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/182000","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","05-Jun-2025","SHERIN ENTERPRISES","Payment Success","200000"
"803","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181998","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","05-Jun-2025","SHERIN ENTERPRISES","Payment Success","200000"
"804","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181995","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","05-Jun-2025","SHERIN ENTERPRISES","Payment Success","200000"
"805","Tamil Nadu","Purchase of sports equipment","WS/MP457/2025-2026/235015","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","26-Nov-2025","MFD INDUSTRIES","Payment Success","500000"
"806","Tamil Nadu","Purchase of sports equipment","WS/MP457/2025-2026/235018","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","26-Nov-2025","MFD INDUSTRIES","Payment Success","500000"
"807","Tamil Nadu","Purchase of sports equipment","WS/MP457/2025-2026/235017","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","26-Nov-2025","MFD INDUSTRIES","Payment Success","500000"
"808","Tamil Nadu","Purchase of sports equipment","WS/MP457/2025-2026/235019","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","26-Nov-2025","MFD INDUSTRIES","Payment Success","500000"
"809","Tamil Nadu","Purchase of sports equipment","WS/MP457/2025-2026/235016","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","26-Nov-2025","MFD INDUSTRIES","Payment Success","500000"
"810","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181988","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","19-Jun-2025","SATHYA ENTERPRISES","Payment Success","200000"
"811","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181985","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","19-Jun-2025","SATHYA ENTERPRISES","Payment Success","200000"
"812","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181986","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","19-Jun-2025","SATHYA ENTERPRISES","Payment Success","200000"
"813","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181987","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","19-Jun-2025","SATHYA ENTERPRISES","Payment Success","200000"
"814","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/181984","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","19-Jun-2025","SATHYA ENTERPRISES","Payment Success","200000"
"815","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201672","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","MUNIAN VENKATESAN","Payment Success","235000"
"816","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201671","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","MUNIAN VENKATESAN","Payment Success","235000"
"817","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201662","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","MUNIAN VENKATESAN","Payment Success","235000"
"818","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201661","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","MUNIAN VENKATESAN","Payment Success","235000"
"819","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201660","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","MUNIAN VENKATESAN","Payment Success","235000"
"820","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201656","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","MUNIAN VENKATESAN","Payment Success","235000"
"821","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201655","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","MUNIAN VENKATESAN","Payment Success","235000"
"822","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201646","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","VEENUS ENTERPRISES","Payment Success","235000"
"823","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201649","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","MUNIAN VENKATESAN","Payment Success","235000"
"824","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201648","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","VEENUS ENTERPRISES","Payment Success","235000"
