"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"76","Normal/Others","WS/MP508/2025-2026/189214-Construction of community centers and community halls","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Construction of Multi Purpose Building at Madavalam in Madapalli Panchayat","21-Apr-2025","25-Jul-2025","699930","Physical Inspection"
"77","Normal/Others","WS/MP393/2025-2026/190427-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","MPLADS 2024-25) Construction of Drama Stage Near Iyyanar Kovil at Kavathukudi Village in Kavathukudi Panchayat","10-Apr-2025","02-Sep-2025","942865","Physical Inspection"
"78","Normal/Others","WS/MP743/2025-2026/190599-Construction of community centers and community halls","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Construction of Puplic Distribution Centre at Ayimicheri panchayat walajabad panchayat Union.","12-Apr-2025","28-Aug-2025","1000000","Physical Inspection"
"79","Normal/Others","WS/MP743/2025-2026/190603-Construction of community centers and community halls","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Construction of Community Hall First Floor in rajakulam village. Illuppapattu panchayat at walajabad panchayat Union","12-Apr-2025","28-Aug-2025","3000000","Work partially Completed"
"80","Normal/Others","WS/MP743/2026-2027/190860-Construction of community centers and community halls","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Construction of Community Center at Mugaiyur Panchayat.","12-Apr-2025","19-Aug-2026","4000000","Physical Inspection"
"81","Normal/Others","WS/MP457/2025-2026/191880-Construction of community centers and community halls","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Construction of Ration shop in 22nd ward, Kidangal 2, Tindivanam","16-Apr-2025","06-May-2025","979584","Physical Inspection"
"82","Normal/Others","WS/MP457/2025-2026/191883-Construction of community centers and community halls","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Construction of Ration shop at 9th ward Ayyasamy street, Tindivanam Municipality","16-Apr-2025","06-May-2025","979157","Physical Inspection"
"83","Normal/Others","WS/MP457/2025-2026/191884-Construction of community centers and community halls","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Construction of Ration shop at 1st ward Annamalaiyar Nagar, Thiruvennainallur.","16-Apr-2025","17-Jun-2025","980000","Physical Inspection"
"84","Normal/Others","WS/MP18183/2025-2026/192872-Construction of community centers and community halls","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","MURASOLI S","THANJAVUR","Construction work on a new waiting room building near the Critical Care Unit at Thanjavur Medical College Hospital","21-Apr-2025","12-May-2025","5600000","Work partially Completed"
"85","Normal/Others","WS/MP18185/2026-2027/195471-Construction of community centers and community halls","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","ROBERT BRUCE C","TIRUNELVELI","construction of community hall room, kitchen and retaining wall for the community welfare center in Govindapperi  Kadayam Panchayat Union","03-May-2025","15-Jun-2026","2276861","Physical Inspection"
"86","Normal/Others","WS/MP747/2026-2027/195862-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","Construction of community hall near Sivan kovil at A.Kokkulam village and Panchayat","01-Jul-2025","25-Jun-2026","2500000","Physical Inspection"
"87","Normal/Others","WS/MP747/2025-2026/195936-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","Construction of PDS building in Perungudi Village and Panchayat.","01-Jul-2025","04-Nov-2025","1350000","Work Completed"
"88","Normal/Others","WS/MP394/2026-2027/197167-Construction of community centers and community halls","Tamil Nadu","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","Sree alanchi pathirakali amman koil kalayarangam","06-May-2025","01-Sep-2026","1500000","Sanction"
"89","Normal/Others","WS/MP740/2025-2026/197197-Construction of community centers and community halls","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Andimuthu Raja","NILGIRIS(SC)","Construction of PD Shop at Ellappalayam Village at Kariyampalayam Panchayat","24-Jun-2025","24-Feb-2026","1400000","Work partially Completed"
"90","Normal/Others","WS/MP18173/2025-2026/197850-Construction of community centers and community halls","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction of Threshing floor at madukalvaai area in Thachambady panchayat","08-May-2025","14-May-2025","499750","Physical Inspection"
"91","Normal/Others","WS/MP18183/2025-2026/202355-Construction of community centers and community halls","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","MURASOLI S","THANJAVUR","Construction of a multi-purpose waiting room in Mela Ulur Panchayat","22-May-2025","30-Jun-2025","4221324","Physical Inspection"
"92","Normal/Others","WS/MP740/2026-2027/203994-Construction of community centers and community halls","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Andimuthu Raja","NILGIRIS(SC)","Construction of PD Shop Building at Gandhinagar (Ward No. 12 and 13) at Puliyampatti Town","24-Jun-2025","15-May-2026","1800000","Physical Inspection"
"93","Normal/Others","WS/MP740/2025-2026/203995-Construction of community centers and community halls","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Andimuthu Raja","NILGIRIS(SC)","Constuction of PD Shop Building at Kaliyur (Ward No. 15) at Kembanaicken Palayam Town","24-Jun-2025","24-Nov-2025","1500000","Physical Inspection"
"94","Normal/Others","WS/MP740/2025-2026/203996-Construction of community centers and community halls","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Andimuthu Raja","NILGIRIS(SC)","Constuction of PD Shop Building at Solavanur at  Panayamlpalli Panchayat at Bhavanisagar Block","24-Jun-2025","24-Nov-2025","1279968","Physical Inspection"
"95","Normal/Others","WS/MP740/2026-2027/203998-Construction of community centers and community halls","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Andimuthu Raja","NILGIRIS(SC)","Constuction of PD Shop Building at Panangattupalayam at Vinnappalli Panchayat at Sathiyamangalam Block","24-Jun-2025","25-May-2026","1080000","Sanction"
"96","Normal/Others","WS/MP751/2025-2026/206055-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","New construction of PDS Ward No 56, Near Manalmedu Hospital, Madurai(2024-2025)","03-Jun-2025","11-Mar-2026","700000","Physical Inspection"
"97","Normal/Others","WS/MP751/2025-2026/206063-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","Construction of PDS Ward No 56, New jail Road, Murattanpathri Gurusamy, Near Devar Compound, Madurai(2024-2025)","03-Jun-2025","27-Feb-2026","700000","Sanction"
"98","Normal/Others","WS/MP751/2025-2026/206064-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","Ward No 58, construction of community Hall, Manjalmedu Colony, Near Kulathur Nadar Marriage Hall, Madurai(2024-2025)","03-Jun-2025","06-Jan-2026","2100000","Sanction"
"99","Normal/Others","WS/MP751/2025-2026/206081-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","Ward No 68, Construction of PDS, NO 2 Ponmeni, Madurai(2024-2025)","03-Jun-2025","03-Mar-2026","1000000","Physical Inspection"
"100","Normal/Others","WS/MP017/2026-2027/206109-Construction of community centers and community halls","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","construction of Multi Purpose Building at","03-Jun-2025","14-May-2026","700000","Physical Inspection"
"101","Normal/Others","WS/MP393/2025-2026/206176-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","(Mp Lads 2025-26) Construction of Drama Stage in Sri Sevugaperumal Iyyanar Kovil Sivapuripatti Panchayat","06-Jun-2025","26-Feb-2026","1000000","Physical Inspection"
"102","Normal/Others","WS/MP751/2025-2026/206185-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","Construction of Community Hall,A.Valayapatti Village, A.Valayapatti panchayat, Madurai(2024-2025)","03-Jun-2025","09-Jan-2026","2000000","Physical Inspection"
"103","Normal/Others","WS/MP751/2026-2027/206202-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","Construction of Dining Hall in Community Centers , Melavalavu Gandhi Nagar, Melavalavu Panchayat, Madurai(2024-2025)","03-Jun-2025","24-Jun-2026","1000000","Physical Inspection"
"104","Normal/Others","WS/MP393/2025-2026/206232-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","(MPLADS 2025-26) Constriction of  gold star football club Spectator seat karuviyapatti Village. Vadakudi Panchayat","06-Jun-2025","05-Nov-2025","699753","Physical Inspection"
"105","Normal/Others","WS/MP393/2025-2026/206233-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","(MPLADS 2025-26) Constriction of Drama Stage in SC COLONY Nagamathi Village, Sarugani Panchayat","06-Jun-2025","18-Sep-2025","948142","Physical Inspection"
"106","Normal/Others","WS/MP393/2025-2026/206234-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","(MPLADS 2025-26) Constriction of Drama Stage in Near Ayyanar Kovil Vilankattur Village, Thiruvegampatur Panchayat","06-Jun-2025","26-Aug-2025","948083","Physical Inspection"
"107","Normal/Others","WS/MP393/2025-2026/206235-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","(MPLADS 2025-26) Constriction of Drama Stage in Near Sri Selva vinagayakar Kovil in Chettiyenthal Village, Manavikottai Panchayat","06-Jun-2025","12-Feb-2026","947982","Physical Inspection"
"108","Normal/Others","WS/MP393/2025-2026/206238-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","(MPLADS 2025-26) Constriction of Drama Stage in Near Dahrma Muniswarar Kovil in Kallupati Village, Kallupatti Panchayat","06-Jun-2025","24-Nov-2025","949258","Physical Inspection"
"109","Normal/Others","WS/MP393/2025-2026/206413-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","(MPLADS 2025-26) Construction of  Drama Stage  in SC COLONY Annanagar in O.PUDUR Panchayat","06-Jun-2025","12-Jan-2026","936274","Physical Inspection"
"110","Normal/Others","WS/MP393/2025-2026/206422-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","(MPLADS 2025-26) Construction of Drama Stage in Government  Higher Sec School  in Palayanur at Palayanur Panchayat","06-Jun-2025","17-Mar-2026","941244","Physical Inspection"
"111","Normal/Others","WS/MP393/2025-2026/206432-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","(MPLADS 2025-26) Construction of Drama Stage Near Satnthikaruppar Kovil in  Kumbankudi Village, Rarapuram Panchayat","06-Jun-2025","04-Aug-2025","698766","Physical Inspection"
"112","Normal/Others","WS/MP393/2025-2026/206434-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","(MPLADS 2025-26) Construction of Cooking nad Dining shed in Nachiyar Oorani on the top in K.Rayapuram Panchayat","06-Jun-2025","04-Aug-2025","700000","Sanction"
"113","Normal/Others","WS/MP393/2025-2026/206451-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","(MPLADS 2025-26) Construction of Drama Stage Near  Sri Veerammal kaliamman Kovil, Onankudi Panchayat","06-Jun-2025","25-Jun-2025","829016","Physical Inspection"
"114","Normal/Others","WS/MP393/2025-2026/206452-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","MPLADS 2025-26) Construction of Drama Stage Near Sri Selvavinayakar Kovil Keela Theru, in Kallur Village, Kallur Panchayat","06-Jun-2025","25-Jun-2025","849836","Physical Inspection"
"115","Normal/Others","WS/MP393/2025-2026/206455-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","(MPLADS 2025-26) Construction of Mini Community Hall in Gandhi Nagar in Melathaniyam Panchayat","06-Jun-2025","04-Aug-2025","849100","Physical Inspection"
"116","Normal/Others","WS/MP393/2025-2026/206456-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","(MPLADS 2025 26) Construction of Drama Stage Near Arulmigu Muthumariamman Kovil in Lakshmi narasimhapuram Panchayat","06-Jun-2025","25-Jun-2025","799527","Physical Inspection"
"117","Normal/Others","WS/MP393/2025-2026/206603-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","MPLADS 2025-26) Construction of Drama Stage Near Madha Kovil, South Kudieruppu, Keelapanaiyur Village, Keelapanaiyur Panchayat","06-Jun-2025","18-Jun-2025","699786","Physical Inspection"
"118","Normal/Others","WS/MP393/2025-2026/206619-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","MPLADS 2025-26) Construction of Near Sivan kovil Enathi Village, Enathi Panchayat","06-Jun-2025","18-Jun-2025","699258","Physical Inspection"
"119","Normal/Others","WS/MP18173/2026-2027/209142-Construction of community centers and community halls","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction of Multipurpose Building at Matam Panchayat","08-Jul-2025","20-May-2026","1997509","Physical Inspection"
"120","Normal/Others","WS/MP18173/2025-2026/211123-Construction of community centers and community halls","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction of Threshing Floor at Kilvillivalam Panchayat","08-Jul-2025","26-Sep-2025","299818","Physical Inspection"
"121","Normal/Others","WS/MP751/2026-2027/210680-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","Construction of Community Hall, SomagiriPatti, Near Karuppu Temple Arch(Opp. to Veterinary Hospital), Melavalavu Panchayat, Kottampatti Panchayat Union 2024-2025","20-Jun-2025","29-Jun-2026","4000000","Physical Inspection"
"122","Normal/Others","WS/MP458/2026-2027/211369-Construction of community centers and community halls","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","Construction of Community Hall at Ilampuvanam Village, Ilampuvanam Panchayat in Thothukudi District","02-Jul-2025","03-Jul-2026","4000000","Work partially Completed"
"123","Normal/Others","WS/MP18184/2026-2027/211708-Construction of community centers and community halls","Tamil Nadu","THENI(District Collector Theni_5)","THANGA TAMILSELVAN","THENI","Construction of new ration shop near salaimariyamman temple","27-Jun-2025","25-Jun-2026","1200000","Physical Inspection"
"124","Normal/Others","WS/MP18181/2025-2026/211785-Construction of community centers and community halls","Tamil Nadu","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","ESWARASAMY K","POLLACHI","Construction of New Public Distribution Shop at Chinnapappanuth H.o Periya pappanuthu","24-Jun-2025","20-Dec-2025","1000000","Work Completed"
"125","Normal/Others","WS/MP18184/2026-2027/211996-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","Construction of Ration shop in Rengasamipatti village","27-Jun-2025","18-May-2026","1200000","Physical Inspection"
"126","Normal/Others","WS/MP18184/2025-2026/212001-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","Construction of ration shop in melathirumanickam village","27-Jun-2025","16-Mar-2026","1200000","Work Completed"
"127","Normal/Others","WS/MP18184/2026-2027/212002-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","Construction of ration shop in Meikilarpatti village","27-Jun-2025","13-Jul-2026","1200000","Physical Inspection"
"128","Normal/Others","WS/MP18177/2025-2026/216560-Construction of community centers and community halls","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K E PRAKASH","ERODE","Construction of New PDs Outlet at Vellottamparappu Ward 3 (2025-26)","28-Jul-2025","24-Nov-2025","1800000","Physical Inspection"
"129","Normal/Others","WS/MP740/2026-2027/219241-Construction of community centers and community halls","Tamil Nadu","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","Construction of Multipurpose Building at Muthugula Village Balacola Panchayat at Udhagai block","23-Aug-2025","19-May-2026","1499757","Physical Inspection"
"130","Normal/Others","WS/MP458/2026-2027/219312-Construction of community centers and community halls","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","Construction of Community hall at Sakkammalpuram Village at Vallinayagapuram Panchayat in Ottapidaram Panchayat Union Tuticorin District","29-Jul-2025","19-May-2026","4000000","Vendor Identification"
"131","Normal/Others","WS/MP393/2026-2027/220262-Construction of community centers and community halls","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri Karti P Chidambaram","SIVAGANGA","MPLADS 2024-25 Construcion of Mini Community Hall in P.Karungulam Village, P.Karunkulam Panchayat","28-Jul-2025","27-May-2026","1000000","Physical Inspection"
"132","Normal/Others","WS/MP393/2025-2026/220659-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","(MPLADS 2025-26) Construction in Drama Stage in Near Manivasar Kovil in K.V.Kottai Village, K.V.Kottai Panchayat","28-Jul-2025","21-Aug-2025","799685","Physical Inspection"
