"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"2107","Normal/Others","WS/MP18179/2024-2025/168593-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Tamil Nadu","Mayiladuthurai(District Collector Mayiladuthurai_IDA)","Construction of Burial Ground  at Chinna Nimmeli Manmadhan Koil Street in Keelasattanathapuram Panchayat","SUDHA R","MAYILADUTHURAI","Images","30-Jun-2025","399550"
"2108","Normal/Others","WS/MP18179/2025-2026/179448-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Procurment of  furniture at Govt. Gilrs Highr Seceondry School in Ullur Panchayat.","SUDHA R","MAYILADUTHURAI","Images","22-Sep-2025","600000"
"2109","Normal/Others","WS/MP18179/2025-2026/179449-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Procurment of  furniture at Govt. Highr Seceondry School in Sundharaperumal Kovil Panchayat","SUDHA R","MAYILADUTHURAI","Images","22-Sep-2025","800000"
"2110","Normal/Others","WS/MP18179/2025-2026/179450-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Procurment of  furniture at Govt. Highr Seceondry School in Papanasam Town Panchayat","SUDHA R","MAYILADUTHURAI","Images","22-Sep-2025","600000"
"2111","Normal/Others","WS/MP18179/2025-2026/179456-Lighting of public spaces","Tamil Nadu","Mayiladuthurai(District Collector Mayiladuthurai_IDA)","Instalation of High Mast Light near Mariyaman Kovil in Elumagalur Panchayat","SUDHA R","MAYILADUTHURAI","N/A","22-Oct-2025","700000"
"2112","Normal/Others","WS/MP18179/2025-2026/179457-Lighting of public spaces","Tamil Nadu","Mayiladuthurai(District Collector Mayiladuthurai_IDA)","Instalation of High Mast Light Near Perumal kovil  in Kanjuvoy Panchayat","SUDHA R","MAYILADUTHURAI","N/A","22-Oct-2025","700000"
"2113","Normal/Others","WS/MP18179/2025-2026/179458-Lighting of public spaces","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Instalation of High Mast Light at Bazzar Street in Patteeswaram Panchayat","SUDHA R","MAYILADUTHURAI","Images","09-Mar-2026","700000"
"2114","Normal/Others","WS/MP18179/2025-2026/179459-Lighting of public spaces","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Instalation of High Mast Light at Thanjavur Main road in Thiruvalanjuli Panchayat","SUDHA R","MAYILADUTHURAI","Images","09-Dec-2025","700000"
"2115","Normal/Others","WS/MP18179/2025-2026/179460-Lighting of public spaces","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Instalation of High Mast Light at Main road in Melakabishthalam Panchayat","SUDHA R","MAYILADUTHURAI","Images","08-Oct-2025","699000"
"2116","Normal/Others","WS/MP18179/2025-2026/179461-Lighting of public spaces","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Instalation of High Mast Light at Main road in Manalur Panchayat","SUDHA R","MAYILADUTHURAI","Images","08-Oct-2025","699000"
"2117","Normal/Others","WS/MP18179/2025-2026/179462-Lighting of public spaces","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Instalation of High Mast Light at Near Sivan Kovil in Someshwarapuram panchayat","SUDHA R","MAYILADUTHURAI","Images","08-Oct-2025","700000"
"2118","Normal/Others","WS/MP18179/2025-2026/179463-Lighting of public spaces","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Instalation of High Mast Light at Mankollai in Eachankudi panchayat","SUDHA R","MAYILADUTHURAI","Images","08-Oct-2025","700000"
"2119","Normal/Others","WS/MP18179/2025-2026/179464-Lighting of public spaces","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Instalation of High Mast Light at Mangamalpuram Habitiation in Nagarasmpettai Panchayat","SUDHA R","MAYILADUTHURAI","Images","30-Sep-2025","700000"
"2120","Normal/Others","WS/MP18179/2025-2026/245326-Lighting of public spaces","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Installation of High Mast Light (16 m) at Suryanar Kovil Panchayat","SUDHA R","MAYILADUTHURAI","Images","17-Aug-2026","900000"
"2121","Normal/Others","WS/MP18179/2025-2026/245327-Lighting of public spaces","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Installation of High Mast Light (16 m) at Anna Nagar Sivan Koil (Ward No 12) in Sozhapuram Town Panchayat.","SUDHA R","MAYILADUTHURAI","Images","01-Sep-2026",""
"2122","Normal/Others","WS/MP18179/2025-2026/245328-Lighting of public spaces","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Installation of High Mast Light (16 m) at Masjith Nagar near Pallivasal (Ward No15) in Sozhapuram Town Panchayat.","SUDHA R","MAYILADUTHURAI","Images","01-Sep-2026",""
"2123","Normal/Others","WS/MP18179/2025-2026/245329-Lighting of public spaces","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Installation of High Mast Light (16 m) at Uppukara Street near National grocery store (Ward No 06) in Sozhapuram Town Panchayat.","SUDHA R","MAYILADUTHURAI","Images","01-Sep-2026",""
"2124","Normal/Others","WS/MP18179/2025-2026/245334-Construction of community centers and community halls","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Construction of Public Distribution shop at Manalur Panchayat","SUDHA R","MAYILADUTHURAI","Images","31-Aug-2026",""
"2125","Normal/Others","WS/MP18179/2025-2026/245344-Lighting of public spaces","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Installation of High Mast Light (16 m) near Pallivasal  in NachiyarKovil Panchayat","SUDHA R","MAYILADUTHURAI","Images","14-May-2026","900000"
"2126","Normal/Others","WS/MP18180/2025-2026/149574-Construction of toilet blocks","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Single Unit Girls Toilet @ GHSS Ammapalayam","ARUN NEHRU","PERAMBALUR","N/A","16-Jul-2025","784576"
"2127","Normal/Others","WS/MP18180/2025-2026/149575-Construction of toilet blocks","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Two Number of Single Unit Girls Toilet @ GHSS Chatiramanai","ARUN NEHRU","PERAMBALUR","N/A","08-Aug-2025","1546672"
"2128","Normal/Others","WS/MP18180/2025-2026/149576-Construction of toilet blocks","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Single Unit Girls Toilet @ GHSS Elambalur","ARUN NEHRU","PERAMBALUR","N/A","28-May-2025","784709"
"2129","Normal/Others","WS/MP18180/2025-2026/149577-Construction of toilet blocks","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Single Unit Girls Toilet @ GHS Kalpadi","ARUN NEHRU","PERAMBALUR","N/A","25-Jun-2025","783670"
"2130","Normal/Others","WS/MP18180/2024-2025/149578-Construction of toilet blocks","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Single Unit Girls Toilet @ GHSS Siruvachur","ARUN NEHRU","PERAMBALUR","N/A","21-Mar-2025","784659"
"2131","Normal/Others","WS/MP18180/2025-2026/149579-Construction of toilet blocks","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Single Unit Girls Toilet @ GHS Vadakkumadevi","ARUN NEHRU","PERAMBALUR","N/A","31-Jul-2025","784407"
"2132","Normal/Others","WS/MP18180/2025-2026/149580-Construction of toilet blocks","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Single Unit Girls Toilet @ GHS Velur","ARUN NEHRU","PERAMBALUR","N/A","03-Jul-2025","782833"
"2133","Normal/Others","WS/MP18180/2025-2026/149581-Construction of toilet blocks","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Single Unit Girls Toilet @ GHSS V.Kalathur","ARUN NEHRU","PERAMBALUR","N/A","10-Sep-2025","784460"
"2134","Normal/Others","WS/MP18180/2025-2026/149582-Construction of toilet blocks","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Single Unit Girls Toilet @ GHSS Kai.kalathur","ARUN NEHRU","PERAMBALUR","N/A","19-Sep-2025","784655"
"2135","Normal/Others","WS/MP18180/2025-2026/149583-Construction of toilet blocks","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Single Unit Girls Toilet @ GHSS Nerkunam","ARUN NEHRU","PERAMBALUR","N/A","12-Dec-2025","783616"
"2136","Normal/Others","WS/MP18180/2025-2026/149584-Construction of toilet blocks","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Single Unit Girls Toilet @ GHSS Vengalam","ARUN NEHRU","PERAMBALUR","N/A","02-Jul-2025","784484"
"2137","Normal/Others","WS/MP18180/2025-2026/149585-Construction of toilet blocks","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Single Unit Girls Toilet @ GHSS Poolambadi","ARUN NEHRU","PERAMBALUR","N/A","02-Jul-2025","784380"
"2138","Normal/Others","WS/MP18180/2025-2026/162520-Construction of rooms and halls in school and colleges","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of 2 Classroom Building @ Nehru Higher Secondary School in Eraiyur Pt.","ARUN NEHRU","PERAMBALUR","Images","06-May-2026","4349802"
"2139","Normal/Others","WS/MP18180/2025-2026/178537-Construction of rooms and halls in school and colleges","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Construction of Two Classroom Building at Lalapettai Govt. Higher Secondary School in Kallapalli Pt. Krishnarayapuram Union","ARUN NEHRU","PERAMBALUR","Images","17-Apr-2026","4473544"
"2140","Normal/Others","WS/MP18180/2025-2026/184774-Construction of toilet blocks","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Construction of Boys Toilet (1 unit) at vengangudi Govt AD high School in vengangudi pt Manachanallur PU  (2024-2025)","ARUN NEHRU","PERAMBALUR","N/A","14-Oct-2025","1196783"
"2141","Normal/Others","WS/MP18180/2025-2026/184777-Construction of toilet blocks","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Construction of Girls toilet (1 unit) at velampatti Govt high School in Mahadevi pt T.Pet PU (2024-2025)","ARUN NEHRU","PERAMBALUR","N/A","09-Oct-2025","1196753"
"2142","Normal/Others","WS/MP18180/2025-2026/184778-Construction of water tanks","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Construction of 30000 lit OHT at Muslim street in sathamangalam pt Lalgudi PU (2024-2025)","ARUN NEHRU","PERAMBALUR","Images","09-Feb-2026","2277373"
"2143","Normal/Others","WS/MP18180/2025-2026/184779-Construction of water tanks","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Construction of 30000 lit OHT at Anna Nagar in makkal pt in Lalgudi PU (2024-2025)","ARUN NEHRU","PERAMBALUR","Images","09-Feb-2026","2276259"
"2144","Normal/Others","WS/MP18180/2025-2026/184780-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","BT Road from Main road to Admin Block of Agricultural Engineering College and Research Institute at Kumulur pt Pullambadi PU (2024-2025)","ARUN NEHRU","PERAMBALUR","Images","28-Jul-2025","2499863"
"2145","Normal/Others","WS/MP18180/2025-2026/184781-Construction of toilet blocks","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Construction of Boys toilet (1 unit) at Aringar anna Govt higher secondary School in pachaperumalpatti pt Uppiliyapuram PU (2024-2025)","ARUN NEHRU","PERAMBALUR","N/A","17-Nov-2025","1196190"
"2146","Normal/Others","WS/MP18180/2025-2026/184782-Purchase of hospital equipment","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Providing Medical Equipment and other furnitures for Lalgudi Govt PHC in Lalgudi PU (2024-2025)","ARUN NEHRU","PERAMBALUR","Images","07-Oct-2025","2560740"
"2147","Normal/Others","WS/MP18180/2025-2026/184784-Construction of toilet blocks","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Construction of Girls toilet (1 unit) at nehru aided higher secondary school in puthanampatti pt Musiri PU (2024-2025)","ARUN NEHRU","PERAMBALUR","N/A","11-Mar-2026","1196563"
"2148","Normal/Others","WS/MP18180/2025-2026/204508-Construction of rooms and halls in school and colleges","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Construction of Two Classroom Building at Thiruppanjeeli Govt. Hsc School in Mannachanallur Block","ARUN NEHRU","PERAMBALUR","N/A","12-May-2026","4881560"
"2149","Normal/Others","WS/MP18180/2026-2027/204510-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Construction of Bus Shelter at Garudamangalam in Pullambadi Block","ARUN NEHRU","PERAMBALUR","Images","12-Aug-2026","999011"
"2150","Normal/Others","WS/MP18180/2025-2026/222968-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Construction of Cremation Shed at  Arunthathiyar Mayanam in T.Mangapattiputhur in Thalugai Pt.","ARUN NEHRU","PERAMBALUR","N/A","25-Feb-2026","499955"
"2151","Normal/Others","WS/MP18180/2025-2026/222970-Providing CCTV camera system for security of public areas","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Providing CCTV at Musiri Municipality area","ARUN NEHRU","PERAMBALUR","Images","26-Dec-2025","1300870"
"2152","Normal/Others","WS/MP18180/2025-2026/222971-Construction of footpaths and pedestrian ways","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Providing Paver block at Musiri Govt. Girls Hsc School Stage front side","ARUN NEHRU","PERAMBALUR","N/A","26-Dec-2025","1994605"
"2153","Normal/Others","WS/MP18180/2025-2026/222972-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providing CC Road at AD Street Kannan house to Anganwadi Centre in Kurur","ARUN NEHRU","PERAMBALUR","N/A","11-Mar-2026","616756"
"2154","Normal/Others","WS/MP18180/2025-2026/222973-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providing CC Road at Chettikulam Govt. Hsc School backside Ekambaram house to Muthuselvan house in Chettikulam Pt.","ARUN NEHRU","PERAMBALUR","N/A","05-Dec-2025","375121"
"2155","Normal/Others","WS/MP18180/2025-2026/231212-Installing tube-wells and borewells","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Providing New borewell and RO Purifier at K.Kothampatti PUMS in Kannanur Pt. in Thuraiyur Union","ARUN NEHRU","PERAMBALUR","N/A","18-Dec-2025","599946"
"2156","Normal/Others","WS/MP18180/2025-2026/231213-Construction of footpaths and pedestrian ways","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Providing Paver block at Uppiliyapuram Govt. Higher secondry School","ARUN NEHRU","PERAMBALUR","N/A","06-Feb-2026","995979"
"2157","Normal/Others","WS/MP18180/2025-2026/231214-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","Providing Smart Classroom at Venkatachalapuram PUMS in Venkatachalapuram Pt. Uppiliyapuram Union","ARUN NEHRU","PERAMBALUR","N/A","17-Dec-2025","199999"
"2158","Normal/Others","WS/MP18180/2025-2026/231216-Construction of water tanks","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Construction of 60000 litre capacity OHT at Kottaiyar thottam in Poyyamani Pt in Kulithalai block","ARUN NEHRU","PERAMBALUR","Images","17-Mar-2026","2499736"
"2159","Normal/Others","WS/MP18180/2025-2026/231217-Construction of water tanks","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Construction of 30000 litre capacity OHT at Kuppantiyoor in Kosur Pt in Krishnarayapuram Block","ARUN NEHRU","PERAMBALUR","Images","04-May-2026","1799485"
"2160","Normal/Others","WS/MP18180/2025-2026/231218-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Providing Bench, Desk to Valaiyapatti Dhanam Govt Aided Elementry School in Hiranyamangalam Pt in Kulithalai Block","ARUN NEHRU","PERAMBALUR","Images","23-Jan-2026","300000"
"2161","Normal/Others","WS/MP18180/2025-2026/231219-Construction of water tanks","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Construction of 30000 litre capacity OHT at Muthaligoundanur in Thimmampatti Pt in Kulithalai Block","ARUN NEHRU","PERAMBALUR","Images","17-Mar-2026","1799478"
"2162","Normal/Others","WS/MP18180/2025-2026/231220-Construction of footpaths and pedestrian ways","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providing Paver Block at Veppanthattai GHSS","ARUN NEHRU","PERAMBALUR","N/A","22-Jan-2026","499413"
"2163","Normal/Others","WS/MP18180/2025-2026/231221-Construction of footpaths and pedestrian ways","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providing Paver Block at Valikandapuram PUES in Veppanthattai Block","ARUN NEHRU","PERAMBALUR","Images","25-Mar-2026","496071"
"2164","Normal/Others","WS/MP18180/2025-2026/231222-Construction of boundary walls of existing public and community buildings","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Compound Wall at V.Kalathur GHSS in Veppanthattai Union","ARUN NEHRU","PERAMBALUR","N/A","06-May-2026","498957"
"2165","Normal/Others","WS/MP18180/2025-2026/231223-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providing CC Road at Padangi BC Street in Kai.Kalathur Pt. in Veppanthattai Union","ARUN NEHRU","PERAMBALUR","N/A","22-Jan-2026","299337"
"2166","Normal/Others","WS/MP18180/2025-2026/231224-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providing CC Road at Ayyanarpalayam Kai.Kalathur - Pillangulam road to Ayyanar Kovil road in Pillangulam Pt. in Veppanthattai Union","ARUN NEHRU","PERAMBALUR","N/A","13-Jan-2026","299540"
"2167","Normal/Others","WS/MP18180/2025-2026/231225-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providing CC Road with Drainage at Krishnapuram BC South Street Karunanidhi House to Selvakumar house in Vengalam Pt. in Veppanthattai Union","ARUN NEHRU","PERAMBALUR","Images","30-Apr-2026","299278"
"2168","Normal/Others","WS/MP18180/2025-2026/231226-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providing CC Road at Annamangalam Palpannai Street in Annamangalam Pt. in Veppanthattai Union","ARUN NEHRU","PERAMBALUR","N/A","04-Feb-2026","299687"
"2169","Normal/Others","WS/MP18180/2025-2026/231227-Construction of footpaths and pedestrian ways","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providing Paver Block at Vengalam GHSS in Veppanthattai union","ARUN NEHRU","PERAMBALUR","Images","30-Apr-2026","297213"
"2170","Normal/Others","WS/MP18180/2025-2026/231228-Providing drains and gutters for public drainage","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Drainage at Chettikulam Periyar Nagar North Street Renga House to Tamilmani House in Chettikulam Pt.","ARUN NEHRU","PERAMBALUR","N/A","26-Feb-2026","494849"
"2171","Normal/Others","WS/MP18180/2025-2026/231229-Construction of public irrigation facilities","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Small Culvert at Nathakadu Anganwadi Near in T.Kalathur Pt.","ARUN NEHRU","PERAMBALUR","N/A","03-Feb-2026","59333"
"2172","Normal/Others","WS/MP18180/2025-2026/231230-Providing drains and gutters for public drainage","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providing Drainage and Compound wall for T.Kalathur PUES in T.Kalathur Pt.","ARUN NEHRU","PERAMBALUR","N/A","03-Feb-2026","437066"
"2173","Normal/Others","WS/MP18180/2025-2026/231231-Installing tube-wells and borewells","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providing New Borewell with Motor and tank at Melapuliyur BC Mayanam in Melapuliyur Pt.","ARUN NEHRU","PERAMBALUR","N/A","19-Jan-2026","299911"
"2174","Normal/Others","WS/MP18180/2025-2026/231232-Construction of public irrigation facilities","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Small Culvert at Irattaimalasandhu Nehru Nagar in vadakkumadevi Pt.","ARUN NEHRU","PERAMBALUR","N/A","04-Feb-2026","249880"
"2175","Normal/Others","WS/MP18180/2025-2026/231233-Construction of public irrigation facilities","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Small Culvert and Drainage at Kattu Mariyamman Kovil Backside in Vadakkumadevi Pt.","ARUN NEHRU","PERAMBALUR","N/A","04-Feb-2026","349913"
"2176","Normal/Others","WS/MP18180/2025-2026/231234-Installing tube-wells and borewells","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providing New Borewell with Motor and tank at Melapuliyur SC Mayanam in Melapuliyur Pt.","ARUN NEHRU","PERAMBALUR","Images","04-Feb-2026","299939"
"2177","Normal/Others","WS/MP18180/2025-2026/232777-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providing CC Road at Alathur BC Street Azhagappan house to Solaimuthu House in Irur Pt.","ARUN NEHRU","PERAMBALUR","N/A","07-Jan-2026","496453"
"2178","Normal/Others","WS/MP18180/2025-2026/232778-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providing CC Road at Thenur BC Street Mustafa House to Wakf House at Thenur Pt.","ARUN NEHRU","PERAMBALUR","N/A","03-Feb-2026","496500"
"2179","Normal/Others","WS/MP18180/2025-2026/254367-Providing supply pipelines for drinking water","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Providing pipeline extention from valayapatti crematorium to melapatti OHT in Hiranyamangalam pt Kulithalai PU","ARUN NEHRU","PERAMBALUR","Images","26-Mar-2026","562476"
"2180","Normal/Others","WS/MP18181/2024-2025/151262-Construction of bus-sheds or bus-stops","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of Passenger Shelter in Emmegoundanpalayam Village, near Rasukutti thottam, Chettikapalayam Panchayat.","ESWARASAMY K","POLLACHI","Images","25-Feb-2025","470495"
"2181","Normal/Others","WS/MP18181/2025-2026/151263-Construction of bus-sheds or bus-stops","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of Passenger Shelter near Madhurai Veeran Kovil at Reddiyarur H/o. S.Nallur Panchayat","ESWARASAMY K","POLLACHI","Images","22-Jan-2026","551287"
"2182","Normal/Others","WS/MP18181/2025-2026/151264-Construction of bus-sheds or bus-stops","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of Passenger Shelter in Reddiyarmadam bus stop at Reddiyarur H/o. S.Nallur Panchayat","ESWARASAMY K","POLLACHI","Images","22-Jan-2026","519180"
"2183","Normal/Others","WS/MP18181/2026-2027/151265-Construction of water tanks","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of 60000 litre OHT at Solapalayam H/o. Solapalayam panchayat","ESWARASAMY K","POLLACHI","Images","13-Aug-2026","1229625"
"2184","Normal/Others","WS/MP18181/2025-2026/179548-Construction of community centers and community halls","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of Public Distribution Shop at Palaghat main road ward No.15 Bathrakaliyamman kovil street (Vivega Avenue) in Madukkarai Municipality","ESWARASAMY K","POLLACHI","N/A","11-Dec-2025","1306062"
"2185","Normal/Others","WS/MP18181/2025-2026/179549-Construction of community centers and community halls","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of Public Distribution Shop at Ward No.9, Anna nagar in Periyanegamam Town Panchayat","ESWARASAMY K","POLLACHI","Images","05-Feb-2026","1600000"
"2186","Normal/Others","WS/MP18181/2025-2026/179550-Construction of bus-sheds or bus-stops","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of Bus Shelter at ward no.9, samathuvapuram in Chettipalayam Panchayat","ESWARASAMY K","POLLACHI","N/A","11-Aug-2025","800000"
"2187","Normal/Others","WS/MP18181/2025-2026/179573-Construction of boundary walls of existing public and community buildings","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of Compound wall to Anganwadi building at vellarukkampalayam, devarayapuram panchayat","ESWARASAMY K","POLLACHI","N/A","30-May-2025","240140"
"2188","Normal/Others","WS/MP18181/2025-2026/179574-Construction of water tanks","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of 60000 ltr OHT near Thangaraj thottam at periyapodhu village Periyapodhu Panchayat","ESWARASAMY K","POLLACHI","N/A","28-Jul-2025","1269637"
"2189","Normal/Others","WS/MP18181/2024-2025/179575-Providing drains and gutters for public drainage","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of Drain at Kinathumedu Gandhi nagar in ward no.12 of Anaimalai Town panchayat","ESWARASAMY K","POLLACHI","N/A","28-Mar-2025","1000000"
"2190","Normal/Others","WS/MP18181/2025-2026/179576-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Providing Cement concrete pavement at Maariamman kovil Maithanam front side in Thondamuthur Town Panacahayat","ESWARASAMY K","POLLACHI","Images","12-Sep-2025","1700000"
